serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
95182,,Sukhoi SuperJet 100,100-95B,Unknown,,97016,SaM146,2,Ra-891,Due,Yamal Airlines,,On order
95183,,Sukhoi SuperJet 100,100-95B,20/02/2019,,97020,SaM146,2,EI-,Due,CityJet,,On order
95184,,Sukhoi SuperJet 100,100-95B,11/03/2019,,,SaM146,2,RA-891,Due,Yamal Airlines,,On order
95185,,Sukhoi SuperJet 100,100-95B,25/03/2019,1,89123,SaM146,2,RA-89123,17/01/2020,Aeroflot,Named O. Kutafin   Lsd From Gtlk,Active
95186,,Sukhoi SuperJet 100,100-95B,05/04/2019,1,89124,SaM146,2,RA-89124,15/01/2020,Aeroflot,Named Yuri Moiseev,Active
95188,,Sukhoi SuperJet 100,100-95B,28/05/2019,0.9,89125,SaM146,2,RA-89125,21/01/2020,Aeroflot,Named Sergey Utochkin,Active
95189,,Sukhoi SuperJet 100,100-95B,11/06/2019,0.8,89126,SaM146,2,RA-89126,16/01/2020,Aeroflot,Named Sergey Chaplygin,Active
95190,,Sukhoi SuperJet 100,100-95B,21/06/2019,0.8,89127,SaM146,2,RA-89127,16/01/2020,Aeroflot,Named Georgy Sedov,Active
95191,,Sukhoi SuperJet 100,100-95B,11/07/2019,,89128,SaM146,2,RA-89128,Due,Aeroflot,,On order
95192,,Sukhoi SuperJet 100,100-95B,17/07/2019,,89129,SaM146,2,RA-89129,Due,Aeroflot,,On order
95193,,Sukhoi SuperJet 100,100-95B,11/09/2019,,89130,SaM146,2,RA-89130,Due,Aeroflot,,On order
95194,,Sukhoi SuperJet 100,100-95B,24/09/2019,,89131,SaM146,2,RA-89131,Due,Aeroflot,,On order
95195,,Sukhoi SuperJet 100,100-95B,03/10/2019,,89132,SaM146,2,RA-89132,Due,Aeroflot,Named A. Nikitin,On order
95197,,Sukhoi SuperJet 100,100-95B,31/10/2019,,89133,SaM146,2,RA-89133,Due,Aeroflot,,On order
95198,,Sukhoi SuperJet 100,100-95B,20/02/2020,,89134,SaM146,2,RA-89134,Due,Aeroflot,,On order
95199,,Sukhoi SuperJet 100,100-95B,03/03/2020,,89139,SaM146,2,RA-89139,Due,Aeroflot,,On order
95200,,Sukhoi SuperJet 100,100-95B,Unknown,,,SaM146,2,RA-891,Due,Aeroflot,,On order
